111111,1111,500
222222,2222,1000
111111,1111,500
222222,2222,1000
111111,1111,500
222222,2222,1000
111111,1111,500
222222,2222,1000
111111,1111,500
222222,2222,1000
111111,1111,500
222222,2222,1000
111111,1111,500
222222,2222,1000
111111,1111,480
222222,2222,1000
111111,1111,480
222222,2222,1000
111111,1111,500
222222,2222,1000
111111,1111,490
222222,2222,1000
111111,1111,490
222222,2222,1000
111111,1111,490
222222,2222,1000
111111,1111,490
222222,2222,1000
111111,1111,490
222222,2222,1000
111111,1111,490
222222,2222,1000
111111,1111,500
222222,2222,1000
111111,1111,490
222222,2222,1000
111111,1111,500
222222,2222,1000
111111,1111,480
222222,2222,1000
111111,1111,500
222222,2222,1000
111111,1111,500
222222,2222,1000
111111,1111,500
222222,2222,1000
111111,1111,500
222222,2222,1000
111111,1111,500
222222,2222,1000
111111,1111,500
222222,2222,1000
111111,1111,500
222222,2222,1000
111111,1111,500
222222,2222,1000
111111,1111,500
222222,2222,1000
111111,1111,400
222222,2222,1000
333333,4567,250000
777777,7777,250000
666666,6666,2500
888888,8888,450
